"KIA Carnival, 2017",2 150 000  ₽,"19 000 км, 2.2 AT (202 л.с.), минивэн, передний, дизель",https://avito.ru/moskva/avtomobili/kia_carnival_2017_1679251898
"Mercedes-Benz E-класс, 2013",1 369 000  ₽,"121 739 км, 3.0 AT (333 л.с.), седан, полный, бензин",https://avito.ru/moskva/avtomobili/mercedes-benz_e-klass_2013_1038401817
"Nissan X-Trail, 2012",809 000  ₽,"143 304 км, 2.5 CVT (169 л.с.), внедорожник, полный, бензин",https://avito.ru/moskva/avtomobili/nissan_x-trail_2012_1263652296
"Mercedes-Benz Sprinter, 2006",749 000  ₽,"500 000 км, 2.1 MT (109 л.с.), микроавтобус, задний, дизель",https://avito.ru/tver/avtomobili/mercedes-benz_sprinter_2006_1652418313
"Chevrolet Lacetti, 2005",160 000  ₽,"151 329 км, 1.6 MT (109 л.с.), седан, передний, бензин",https://avito.ru/serpuhov/avtomobili/chevrolet_lacetti_2005_1770989047
"LADA 4x4 (Нива), 2007",55 000  ₽,"63 000 км, 1.7 MT (80 л.с.), внедорожник, полный, бензин",https://avito.ru/bolohovo/avtomobili/lada_4x4_niva_2007_1782738279
"Chevrolet Cruze, 2013",368 000  ₽,"112 308 км, 1.6 AT (109 л.с.), седан, передний, бензин",https://avito.ru/vidnoe/avtomobili/chevrolet_cruze_2013_1759400081
"LADA Priora, 2007",160 000  ₽,"162 000 км, 1.6 MT (98 л.с.), седан, передний, бензин",https://avito.ru/vladimir/avtomobili/lada_priora_2007_1770597575
"ВАЗ 2112, 2005",53 000  ₽,"125 000 км, 1.5 MT (92 л.с.), хетчбэк, передний, бензин",https://avito.ru/orehovo-zuevo/avtomobili/vaz_2112_2005_1786301238
"Renault Kaptur, 2017",905 000  ₽,"16 000 км, 2.0 AT (143 л.с.), хетчбэк, полный, бензин",https://avito.ru/moskva/avtomobili/renault_kaptur_2017_1478175067
"Hyundai Getz, 2004",135 000  ₽,"180 000 км, 1.3 MT (82 л.с.), хетчбэк, передний, бензин",https://avito.ru/moskva/avtomobili/hyundai_getz_2004_1777941111
"KIA Shuma, 2002",57 000  ₽,"350 000 км, 1.8 MT (114 л.с.), хетчбэк, передний, бензин",https://avito.ru/obninsk/avtomobili/kia_shuma_2002_1779991020
"LADA Priora, 2011",165 000  ₽,"125 000 км, 1.6 MT (98 л.с.), седан, передний, бензин",https://avito.ru/obninsk/avtomobili/lada_priora_2011_1423883073
"Mazda CX-5, 2012",795 000  ₽,"Битый, 103 000 км, 2.0 AT (150 л.с.), внедорожник, полный, бензин",https://avito.ru/moskva/avtomobili/mazda_cx-5_2012_1766456776
"LADA Priora, 2009",175 000  ₽,"150 000 км, 1.6 MT (98 л.с.), седан, передний, бензин",https://avito.ru/elektrostal/avtomobili/lada_priora_2009_1764969954
"Toyota Mark X, 2007",260 000  ₽,"139 000 км, 2.5 AT (215 л.с.), седан, полный, бензин",https://avito.ru/lyubertsy/avtomobili/toyota_mark_x_2007_1761898624
"Opel Astra, 2008",210 000  ₽,"200 000 км, 1.6 MT (115 л.с.), седан, передний, бензин",https://avito.ru/serpuhov/avtomobili/opel_astra_2008_1660529744
"Volkswagen Caddy, 2011",380 000  ₽,"173 000 км, 1.2 MT (86 л.с.), минивэн, передний, бензин",https://avito.ru/moskva/avtomobili/volkswagen_caddy_2011_1348802128
"LADA Kalina, 2007",130 000  ₽,"130 000 км, 1.6 MT (81 л.с.), хетчбэк, передний, бензин",https://avito.ru/ryazan/avtomobili/lada_kalina_2007_1653641307
"BMW X5, 2002",420 000  ₽,"264 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",https://avito.ru/moskva/avtomobili/bmw_x5_2002_1653796537
